congress,chamber,rollnumber,icpsr,cast_code,prob
115,House,245,15448,6,100
115,House,246,15448,6,100
115,House,247,15448,1,
115,House,248,15448,1,90.5
115,House,249,15448,1,
115,House,250,15448,6,46.3
115,House,251,15448,6,100
115,House,252,15448,9,100
115,House,253,15448,9,67.7
115,House,254,15448,1,
115,House,255,15448,6,100
115,House,256,15448,1,
115,House,257,15448,9,
115,House,258,15448,9,100
115,House,259,15448,9,100
115,House,260,15448,9,100
115,House,261,15448,9,
115,House,262,15448,6,100
115,House,263,15448,6,100
115,House,264,15448,6,98.8
115,House,265,15448,1,
115,House,266,15448,1,99.5
115,House,267,15448,6,96.4
115,House,268,15448,1,70.1
115,House,269,15448,1,69
115,House,270,15448,6,100
115,House,271,15448,6,100
115,House,272,15448,1,
115,House,273,15448,6,100
115,House,274,15448,6,100
115,House,275,15448,6,100
115,House,276,15448,1,
115,House,277,15448,1,
115,House,278,15448,1,99.6
115,House,279,15448,1,99.8
115,House,280,15448,1,100
115,House,281,15448,6,99.1
115,House,282,15448,1,100
115,House,283,15448,1,48.1
115,House,284,15448,1,
115,House,285,15448,1,
115,House,286,15448,1,
115,House,287,15448,6,100
115,House,288,15448,6,100
115,House,289,15448,9,100
115,House,290,15448,6,100
115,House,291,15448,6,100
115,House,292,15448,1,100
115,House,293,15448,6,93.5
115,House,294,15448,6,100
115,House,295,15448,6,100
115,House,296,15448,6,100
115,House,297,15448,6,100
115,House,298,15448,6,100
115,House,299,15448,1,
115,House,300,15448,1,
115,House,301,15448,9,100
115,House,302,15448,9,100
115,House,303,15448,9,44.8
115,House,304,15448,1,100
115,House,305,15448,6,99.7
115,House,306,15448,6,46.1
115,House,307,15448,6,99.2
115,House,308,15448,9,
115,House,309,15448,9,99.5
115,House,310,15448,6,100
115,House,311,15448,6,100
115,House,312,15448,6,100
115,House,313,15448,1,99.6
115,House,314,15448,6,97
115,House,315,15448,6,100
115,House,316,15448,6,100
115,House,317,15448,9,100
115,House,318,15448,9,100
115,House,319,15448,9,99.2
115,House,320,15448,9,97.3
115,House,321,15448,9,80.3
115,House,322,15448,1,
115,House,323,15448,1,
115,House,324,15448,6,100
115,House,325,15448,9,100
115,House,326,15448,9,49.5
115,House,327,15448,1,
115,House,328,15448,1,
115,House,329,15448,1,
115,House,330,15448,9,100
115,House,331,15448,6,100
115,House,332,15448,1,49.7
115,House,333,15448,6,100
115,House,334,15448,6,99.4
115,House,335,15448,1,100
115,House,336,15448,6,100
115,House,337,15448,1,
115,House,338,15448,6,100
115,House,339,15448,6,100
115,House,340,15448,1,100
115,House,341,15448,6,100
115,House,342,15448,1,100
115,House,343,15448,6,98.1
115,House,344,15448,1,
115,House,345,15448,1,99.7
115,House,346,15448,9,100
115,House,347,15448,9,100
115,House,348,15448,1,
115,House,349,15448,1,100
115,House,350,15448,1,100
115,House,351,15448,6,100
115,House,352,15448,1,66
115,House,353,15448,6,100
115,House,354,15448,6,100
115,House,355,15448,6,98.9
115,House,356,15448,1,77.5
115,House,357,15448,1,99.7
115,House,358,15448,1,98.8
115,House,359,15448,1,99.8
115,House,360,15448,1,100
115,House,361,15448,6,98.8
115,House,362,15448,1,100
115,House,363,15448,1,99.7
115,House,364,15448,1,43.7
115,House,365,15448,1,98.5
115,House,366,15448,6,99.8
115,House,367,15448,6,100
115,House,368,15448,6,100
115,House,369,15448,6,100
115,House,370,15448,6,67.4
115,House,371,15448,6,100
115,House,372,15448,6,100
115,House,373,15448,6,96.6
115,House,374,15448,6,100
115,House,375,15448,1,
115,House,376,15448,1,100
115,House,377,15448,1,26.1
115,House,378,15448,1,
115,House,379,15448,1,
115,House,380,15448,1,
115,House,381,15448,6,100
115,House,382,15448,6,100
115,House,383,15448,1,
115,House,384,15448,9,100
115,House,385,15448,9,99.2
115,House,386,15448,1,100
115,House,387,15448,1,100
115,House,388,15448,9,100
115,House,389,15448,1,100
115,House,390,15448,6,100
115,House,391,15448,6,100
115,House,392,15448,6,100
115,House,393,15448,6,100
115,House,394,15448,1,99.9
115,House,395,15448,1,100
115,House,396,15448,9,100
115,House,397,15448,6,99.3
115,House,398,15448,1,99.9
115,House,399,15448,1,100
115,House,400,15448,1,100
115,House,401,15448,6,100
115,House,402,15448,1,68.2
115,House,403,15448,1,100
115,House,404,15448,1,99.1
115,House,405,15448,6,99.7
115,House,406,15448,6,99.5
115,House,407,15448,6,100
115,House,408,15448,1,
115,House,409,15448,6,100
115,House,410,15448,6,100
115,House,411,15448,6,100
115,House,412,15448,1,
115,House,413,15448,6,100
115,House,414,15448,6,100
115,House,415,15448,6,99.9
115,House,416,15448,6,99.7
115,House,417,15448,1,97.9
115,House,418,15448,6,100
115,House,419,15448,1,98.7
115,House,420,15448,1,99.2
115,House,421,15448,1,99.7
115,House,422,15448,1,99.8
115,House,423,15448,1,100
115,House,424,15448,1,97.2
115,House,425,15448,9,100
115,House,426,15448,6,100
115,House,427,15448,6,99.4
115,House,428,15448,6,99.8
115,House,429,15448,1,99.8
115,House,430,15448,1,98.5
115,House,431,15448,1,99.8
115,House,432,15448,1,99.7
115,House,433,15448,1,100
115,House,434,15448,6,100
115,House,435,15448,6,100
115,House,436,15448,1,75.5
115,House,437,15448,1,
115,House,438,15448,1,
115,House,439,15448,1,
115,House,440,15448,1,
115,House,441,15448,6,100
115,House,442,15448,6,100
115,House,443,15448,1,45
115,House,444,15448,6,100
115,House,445,15448,6,97.8
115,House,446,15448,6,97.4
115,House,447,15448,6,98.1
115,House,448,15448,6,100
115,House,449,15448,1,99.2
115,House,450,15448,6,100
115,House,451,15448,6,100
115,House,452,15448,6,100
115,House,453,15448,6,100
115,House,454,15448,6,100
115,House,455,15448,6,96.9
115,House,456,15448,6,100
115,House,457,15448,9,100
115,House,458,15448,9,100
115,House,459,15448,9,99.5
115,House,460,15448,1,100
115,House,461,15448,1,99.9
115,House,462,15448,9,91.2
115,House,463,15448,9,100
115,House,464,15448,9,100
115,House,465,15448,9,100
115,House,466,15448,6,99.5
115,House,467,15448,6,99.7
115,House,468,15448,6,99.8
115,House,469,15448,6,99
115,House,470,15448,1,99.9
115,House,471,15448,6,98.7
115,House,472,15448,1,99.3
115,House,473,15448,6,100
115,House,474,15448,1,100
115,House,475,15448,1,99.9
115,House,476,15448,1,100
115,House,477,15448,6,99.7
115,House,478,15448,6,100
115,House,479,15448,1,99.7
115,House,480,15448,6,99.5
115,House,481,15448,6,99.8
115,House,482,15448,1,100
115,House,483,15448,6,100
115,House,484,15448,1,
115,House,485,15448,6,100
115,House,486,15448,6,100
115,House,487,15448,6,100
115,House,488,15448,6,100
115,House,489,15448,1,99.9
115,House,490,15448,1,100
115,House,491,15448,6,99.8
115,House,492,15448,1,99.5
115,House,493,15448,6,98.6
115,House,494,15448,1,100
115,House,495,15448,1,100
115,House,496,15448,6,99.9
115,House,497,15448,6,99.9
115,House,498,15448,1,100
115,House,499,15448,1,100
115,House,500,15448,1,100
115,House,501,15448,1,100
115,House,502,15448,1,99.3
115,House,503,15448,6,78.6
115,House,504,15448,1,100
115,House,505,15448,1,99.8
115,House,506,15448,1,99.5
115,House,507,15448,6,98.1
115,House,508,15448,6,100
115,House,509,15448,6,100
115,House,510,15448,6,99.6
115,House,511,15448,6,100
115,House,512,15448,6,100
115,House,513,15448,1,100
115,House,514,15448,6,100
115,House,515,15448,1,100
115,House,516,15448,9,100
115,House,517,15448,9,100
115,House,518,15448,6,100
115,House,519,15448,1,100
115,House,520,15448,1,99.8
115,House,521,15448,1,99.5
115,House,522,15448,1,100
115,House,523,15448,6,99.9
115,House,524,15448,6,100
115,House,525,15448,1,99.2
115,House,526,15448,1,100
115,House,527,15448,6,100
115,House,528,15448,1,
115,House,529,15448,6,99.8
115,House,530,15448,1,
115,House,531,15448,6,100
115,House,532,15448,6,100
115,House,533,15448,1,43.4
115,House,534,15448,9,100
115,House,535,15448,1,100
115,House,536,15448,6,100
115,House,537,15448,6,100
115,House,538,15448,6,100
115,House,539,15448,1,
115,House,540,15448,1,100
115,House,541,15448,6,98.8
115,House,542,15448,6,99.7
115,House,543,15448,1,
115,House,544,15448,1,
115,House,545,15448,6,100
115,House,546,15448,6,100
115,House,547,15448,1,100
115,House,548,15448,6,100
115,House,549,15448,1,
115,House,550,15448,9,100
115,House,551,15448,6,100
115,House,552,15448,9,95.5
115,House,553,15448,9,97.8
115,House,554,15448,6,100
115,House,555,15448,1,99.5
115,House,556,15448,6,100
115,House,557,15448,1,
115,House,558,15448,1,
115,House,559,15448,6,100
115,House,560,15448,6,100
115,House,561,15448,1,
115,House,562,15448,1,
115,House,563,15448,1,100
115,House,564,15448,1,
115,House,565,15448,1,100
115,House,566,15448,1,100
115,House,567,15448,1,
115,House,568,15448,1,
115,House,569,15448,1,
115,House,570,15448,1,56.9
115,House,571,15448,6,100
115,House,572,15448,6,100
115,House,573,15448,1,
115,House,574,15448,1,100
115,House,575,15448,1,100
115,House,576,15448,1,100
115,House,577,15448,1,100
115,House,578,15448,1,100
115,House,579,15448,6,100
115,House,580,15448,1,
115,House,581,15448,6,100
115,House,582,15448,6,100
115,House,583,15448,1,46
115,House,584,15448,1,100
115,House,585,15448,1,100
115,House,586,15448,1,100
115,House,587,15448,6,100
115,House,588,15448,6,100
115,House,589,15448,1,
115,House,590,15448,1,
115,House,591,15448,6,100
115,House,592,15448,6,100
115,House,593,15448,1,100
115,House,594,15448,1,100
115,House,595,15448,6,99.7
115,House,596,15448,9,100
115,House,597,15448,6,99.7
115,House,598,15448,1,
115,House,599,15448,6,100
115,House,600,15448,6,100
115,House,601,15448,6,100
115,House,602,15448,6,100
115,House,603,15448,6,80.5
115,House,604,15448,1,100
115,House,605,15448,6,100
115,House,606,15448,1,
115,House,607,15448,1,
115,House,608,15448,1,54.2
115,House,609,15448,6,100
115,House,610,15448,6,100
115,House,611,15448,1,44.8
115,House,612,15448,9,100
115,House,613,15448,6,100
115,House,614,15448,1,69.6
115,House,615,15448,6,100
115,House,616,15448,6,100
115,House,617,15448,1,
115,House,618,15448,9,99.8
115,House,619,15448,6,97.5
115,House,620,15448,1,
115,House,621,15448,6,100
115,House,622,15448,1,89.2
115,House,623,15448,1,
115,House,624,15448,1,52.5
115,House,625,15448,9,100
115,House,626,15448,9,100
115,House,627,15448,9,52.7
115,House,628,15448,9,100
115,House,629,15448,9,96.6
115,House,630,15448,9,32.4
115,House,631,15448,6,100
115,House,632,15448,9,100
115,House,633,15448,9,
115,House,634,15448,9,
115,House,635,15448,1,
115,House,636,15448,6,100
115,House,637,15448,1,
115,House,638,15448,1,27
115,House,639,15448,6,100
115,House,640,15448,6,100
115,House,641,15448,1,99.5
115,House,642,15448,6,99.1
115,House,643,15448,6,100
115,House,644,15448,6,100
115,House,645,15448,1,100
115,House,646,15448,1,100
115,House,647,15448,6,99.9
115,House,648,15448,1,
115,House,649,15448,1,100
115,House,650,15448,6,99.7
115,House,651,15448,9,51.5
115,House,652,15448,6,100
115,House,653,15448,1,100
115,House,654,15448,9,
115,House,655,15448,9,
115,House,656,15448,9,49.4
115,House,657,15448,1,44.2
115,House,658,15448,6,100
115,House,659,15448,6,100
115,House,660,15448,1,
115,House,661,15448,1,100
115,House,662,15448,6,100
115,House,663,15448,1,
115,House,664,15448,6,100
115,House,665,15448,6,100
115,House,666,15448,1,
115,House,667,15448,6,60.6
115,House,668,15448,1,
115,House,669,15448,6,99.7
115,House,670,15448,1,100
115,House,671,15448,1,
115,House,672,15448,1,
115,House,673,15448,1,100
115,House,674,15448,6,95.7
115,House,675,15448,6,100
115,House,676,15448,6,100
115,House,677,15448,6,100
115,House,678,15448,6,99.7
115,House,679,15448,6,93.4
115,House,680,15448,1,100
115,House,681,15448,6,94.2
115,House,682,15448,1,100
115,House,683,15448,6,99.3
115,House,684,15448,6,100
115,House,685,15448,1,
115,House,686,15448,1,100
115,House,687,15448,6,100
115,House,688,15448,6,100
115,House,689,15448,1,99.7
115,House,690,15448,1,100
115,House,691,15448,6,100
115,House,692,15448,1,
115,House,693,15448,6,97.4
115,House,694,15448,1,
115,House,695,15448,1,46.6
115,House,696,15448,6,100
115,House,697,15448,6,100
115,House,698,15448,6,100
115,House,699,15448,1,
115,House,700,15448,1,100
115,House,701,15448,6,99.9
115,House,702,15448,1,41.6
115,House,703,15448,6,100
115,House,704,15448,6,100
115,House,705,15448,1,
115,House,706,15448,1,32.5
115,House,707,15448,6,99.8
115,House,708,15448,6,87.5
115,House,709,15448,1,
115,House,710,15448,1,
115,House,711,15448,1,
115,House,712,15448,1,
115,House,713,15448,1,56.8
115,House,714,15448,1,64.8
115,House,715,15448,1,58.4
115,House,716,15448,6,100
115,House,717,15448,6,100
115,House,718,15448,6,100
115,House,719,15448,6,93.8
115,House,720,15448,1,
115,House,721,15448,9,50.3
115,House,722,15448,6,6.8
115,House,723,15448,1,100
115,House,724,15448,1,8.6
115,House,725,15448,1,
115,House,726,15448,1,
115,House,727,15448,1,
115,House,728,15448,6,100
115,House,729,15448,6,100
115,House,730,15448,1,
115,House,731,15448,1,
115,House,732,15448,6,99.9
115,House,733,15448,1,
115,House,734,15448,1,45.7
115,House,735,15448,6,100
115,House,736,15448,6,100
115,House,737,15448,6,100
115,House,738,15448,6,100
115,House,739,15448,1,100
115,House,740,15448,6,99.8
115,House,741,15448,6,100
115,House,742,15448,1,
115,House,743,15448,1,36.2
115,House,744,15448,6,99.9
115,House,745,15448,6,
115,House,746,15448,6,99.8
115,House,747,15448,6,98.1
115,House,748,15448,6,100
115,House,749,15448,6,99.7
115,House,750,15448,1,
115,House,751,15448,6,97.7
115,House,752,15448,1,
115,House,753,15448,1,
115,House,754,15448,6,100
115,House,755,15448,6,100
115,House,756,15448,6,99.6
115,House,757,15448,1,
115,House,758,15448,1,
115,House,759,15448,1,53.3
115,House,760,15448,6,100
115,House,761,15448,6,100
115,House,762,15448,6,100
115,House,763,15448,6,96.8
115,House,764,15448,6,100
115,House,765,15448,6,100
115,House,766,15448,6,100
115,House,767,15448,6,100
115,House,768,15448,1,
115,House,769,15448,1,
115,House,770,15448,1,45.7
115,House,771,15448,6,98.8
115,House,772,15448,1,43.1
115,House,773,15448,6,97.9
115,House,774,15448,6,100
115,House,775,15448,6,100
115,House,776,15448,6,85
115,House,777,15448,1,
115,House,778,15448,1,
115,House,779,15448,6,100
115,House,780,15448,6,100
115,House,781,15448,1,
115,House,782,15448,1,
115,House,783,15448,1,100
115,House,784,15448,6,98.9
115,House,785,15448,6,98.8
115,House,786,15448,1,98.5
115,House,787,15448,6,97.9
115,House,788,15448,1,
115,House,789,15448,1,97.1
115,House,790,15448,6,100
115,House,791,15448,6,100
115,House,792,15448,6,99.8
115,House,793,15448,6,100
