congress,chamber,rollnumber,icpsr,cast_code,prob
114,House,646,20703,1,99.4
114,House,647,20703,1,100
114,House,648,20703,1,100
114,House,649,20703,1,98.7
114,House,650,20703,1,100
114,House,651,20703,1,100
114,House,652,20703,6,96.3
114,House,653,20703,1,100
114,House,654,20703,6,99.4
114,House,655,20703,1,99.6
114,House,656,20703,6,100
114,House,657,20703,6,98.3
114,House,658,20703,6,99.7
114,House,659,20703,6,99.6
114,House,660,20703,6,97.4
114,House,661,20703,1,99.9
114,House,662,20703,1,89.7
114,House,663,20703,1,100
114,House,664,20703,1,99.6
114,House,665,20703,1,99.7
114,House,666,20703,1,100
114,House,667,20703,6,100
114,House,668,20703,6,100
114,House,669,20703,1,100
114,House,670,20703,1,90.9
114,House,671,20703,6,
114,House,672,20703,6,
114,House,673,20703,6,
114,House,674,20703,6,
114,House,675,20703,6,
114,House,676,20703,1,100
114,House,677,20703,1,
114,House,678,20703,1,100
114,House,679,20703,1,100
114,House,680,20703,1,100
114,House,681,20703,6,80.2
114,House,682,20703,1,100
114,House,683,20703,1,99.8
114,House,684,20703,1,
114,House,685,20703,1,100
114,House,686,20703,1,99.8
114,House,687,20703,1,100
114,House,688,20703,1,100
114,House,689,20703,6,99.8
114,House,690,20703,1,99.7
114,House,691,20703,1,
114,House,692,20703,1,
114,House,693,20703,1,
114,House,694,20703,1,
114,House,695,20703,1,
114,House,696,20703,1,
114,House,697,20703,1,
114,House,698,20703,1,100
114,House,699,20703,1,100
114,House,700,20703,1,99.6
114,House,701,20703,1,64.1
114,House,702,20703,1,71.8
114,House,703,20703,1,100
114,House,704,20703,1,100
114,House,705,20703,1,100
114,House,706,20703,1,100
114,House,707,20703,1,100
114,House,708,20703,6,100
114,House,709,20703,6,100
114,House,710,20703,6,99.5
114,House,711,20703,6,100
114,House,712,20703,6,100
114,House,713,20703,1,100
114,House,714,20703,6,100
114,House,715,20703,6,100
114,House,716,20703,6,100
114,House,717,20703,6,99.9
114,House,718,20703,6,100
114,House,719,20703,6,100
114,House,720,20703,6,100
114,House,721,20703,1,100
114,House,722,20703,1,100
114,House,723,20703,1,100
114,House,724,20703,9,99.9
