35	6	1	1	 HRES100	 Passed	 Providing for consideration of H.R. 800; Education Flexibility Partnership Act	 On Ordering the Previous Question	 H RES 100 QUESTION: ON ORDERING THE PREVIOUS QUESTION PROVIDING FOR CONSIDERATION OF H.R. 800; EDUCATION FLEXIBILITY PARTNERSHIP ACT										
36	1	6	1	 HR800	 Failed	 nan	 On Agreeing to the Amendment	 H R 800 AUTHOR(S): HOLT OF NEW JERSEY TO EHLERS OF MICHIGAN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT										
37	1	1	0	 HR800	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 800 AUTHOR(S): EHLERS OF MICHIGAN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT										
38	1	6	1	 HR800	 Failed	 nan	 On Agreeing to the Amendment	 H R 800 AUTHOR(S): GEORGE MILLER OF CALIFORNIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT										
39	1	6	1	 HR800	 Failed	 nan	 On Agreeing to the Amendment	 H R 800 AUTHOR(S): SCOTT OF VIRGINIA AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EDUCATION FLEXIBILITY PARTNERSHIP ACT										
40	1	1	0	 HR800	 Passed	 Education Flexibility Partnership Act	 On Passage	 H R 800 QUESTION: ON PASSAGE EDUCATION FLEXIBILITY PARTNERSHIP ACT										
41	1	1	0	 HR808	 Passed	 Short-Term Extension of Farm Bankruptcy Law	 Suspend the rules and pass	 as amended	 H R 808 QUESTION: SUSPEND THE RULES AND PASS	 AS AMENDED SHORT-TERM EXTENSION OF FARM BANKRUPTCY LAW								
42	1	1	0	 HRES32	 Passed	 Expressing Support for Open Elections in Indonesia	 Suspend the Rules and Agree	 H RES 32 QUESTION: SUSPEND THE RULES AND AGREE EXPRESSING SUPPORT FOR OPEN ELECTIONS IN INDONESIA										
43	1	1	0	 HCONRES28	 Passed	 Expressing the Sense of Congress criticizing China for its Human Rights Abuses	 Suspend the rules and agree	 as amended	 H CON RES 28 QUESTION: SUSPEND THE RULES AND AGREE	 AS AMENDED EXPRESSING THE SENSE OF CONGRESS CRITICIZING CHINA FOR ITS HUMAN RIGHTS ABUSES								
44	6	1	1	 HRES103	 Passed	 Providing for consideration of H.Con.Res. 42; Peacekeeping Operations in Kosovo	 On Ordering the Previous Question	 H RES 103 QUESTION: ON ORDERING THE PREVIOUS QUESTION PROVIDING FOR CONSIDERATION OF H.CON.RES. 42; PEACEKEEPING OPERATIONS IN KOSOVO										
45	6	1	1	 HRES103	 Passed	 Providing for consideration of H.Con.Res. 42; Peacekeeping Operations in Kosovo	 On Agreeing to the Resolution	 H RES 103 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR CONSIDERATION OF H.CON.RES. 42; PEACEKEEPING OPERATIONS IN KOSOVO										
46	6	1	1	 nan	 Passed	 nan	 Sustain the ruling of the chair	 MOTION QUESTION: SUSTAIN THE RULING OF THE CHAIR										
47	6	1	1	 HCONRES42	 Failed	 nan	 On Agreeing to the Amendment	 H CON RES 42 AUTHOR(S): FOWLER OF FLORIDA TO GEJDENSON OF CONNECTICUT QUESTION: ON AGREEING TO THE AMENDMENT PEACEKEEPING OPERATIONS IN KOSOVO										
48	1	6	1	 HCONRES42	 Passed	 Peacekeeping Operations in Kosovo	 On Agreeing to the Resolution	 H CON RES 42 QUESTION: ON AGREEING TO THE RESOLUTION PEACEKEEPING OPERATIONS IN KOSOVO										
49	1	1	0	 HR819	 Passed	 Federal Maritime Commission Authorization Act	 On Passage	 H R 819 QUESTION: ON PASSAGE FEDERAL MARITIME COMMISSION AUTHORIZATION ACT										
50	1	1	0	 HR774	 Passed	 Women’s Business Center Amendments Act of 1999	 On Motion to Suspend the Rules and Pass	 as Amended	 H R 774 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS	 AS AMENDED WOMEN'S BUSINESS CENTER AMENDMENTS ACT OF 1999								
51	1	1	0	 HCONRES24	 Passed	 Expressing Congressional Opposition to the Unilateral Declaration of a Palestinian State	 On Motion to Suspend the Rules and Agree	 H CON RES 24 QUESTION: ON MOTION TO SUSPEND THE RULES AND AGREE EXPRESSING CONGRESSIONAL OPPOSITION TO THE UNILATERAL DECLARATION OF A PALESTINIAN STATE										
52	1	1	0	 HR820	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 820 AUTHOR(S): UPTON OF MICHIGAN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT COAST GUARD AUTHORIZATION ACT OF 1999										
53	1	1	0	 HR820	 Agreed to	 nan	 On Agreeing to the Amendment	 H R 820 AUTHOR(S): LOBIONDO OF NEW JERSEY AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT COAST GUARD AUTHORIZATION ACT OF 1999										
54	1	1	0	 HR820	 Passed	 Coast Guard Authorization Act of 1999	 On Passage	 H R 820 QUESTION: ON PASSAGE COAST GUARD AUTHORIZATION ACT OF 1999										
55	1	6	1	 HR975	 Passed	 Provide for a Reduction in the Volume of Steel Imports	 On Passage	 H R 975 QUESTION: ON PASSAGE PROVIDE FOR A REDUCTION IN THE VOLUME OF STEEL IMPORTS										
56	6	1	1	 HRES120	 Passed	 Providing for consideration of H.R. 4; National Missile Defense System	 On Agreeing to the Resolution	 H RES 120 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR CONSIDERATION OF H.R. 4; NATIONAL MISSILE DEFENSE SYSTEM										
57	1	6	1	 HR4	 Failed	 National Missile Defense System	 On Motion to Recommit with Instructions	 H R 4 QUESTION: ON MOTION TO RECOMMIT WITH INSTRUCTIONS NATIONAL MISSILE DEFENSE SYSTEM										
58	1	1	0	 HR4	 Passed	 National Missile Defense System	 On Passage	 H R 4 QUESTION: ON PASSAGE NATIONAL MISSILE DEFENSE SYSTEM										
