Name, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
ROYCE; Edward Randall, CA, 39, 0.9394512771996215, 0.9704724409448819, 0.9874476987447699, 0.897822445561139, 1.0
CALVERT; Ken, CA, 43, 0.9868305531167691, 0.9921414538310412, 0.9964788732394366, 0.9789644012944984, 0.9957805907172996
FILNER; Bob, CA, 50, 0.9786614936954413, 0.9922779922779923, 0.9961538461538462, 0.9670932358318098, 0.9866071428571429
LOFGREN; Zoe, CA, 16, 0.9568552253116012, 0.938034188034188, 0.9766536964980544, 0.9411764705882353, 0.9733333333333334
RADANOVICH; George P., CA, 19, 0.9711711711711711, 0.9922178988326849, 0.9927536231884058, 0.9537190082644628, 0.9912663755458515
BILBRAY; Brian P., CA, 49, 0.9085365853658537, 0.8542141230068337, 0.9884169884169884, 0.8306772908366534, 0.9910313901345291
MILLENDER-McDONALD; Juanita, CA, 37, 0.9902654867256637, 0.9923371647509579, 0.9929078014184397, 0.991869918699187, 0.9828326180257511
TAUSCHER; Ellen O'Kane, CA, 10, 0.947871416159861, 0.9064327485380117, 0.9319727891156463, 0.9528455284552846, 0.9545454545454546
SHERMAN; Brad, CA, 24, 0.9621016365202412, 0.939047619047619, 0.9655172413793104, 0.953968253968254, 0.979253112033195
ROGAN; James E., CA, 27, 0.9610750695088045, 0.9759519038076152, 0.9854545454545455, 0.9328621908127208, 1.0
SANCHEZ; Loretta, CA, 46, 0.9598572702943801, 0.9478764478764479, 0.9395017793594306, 0.957166392092257, 0.9914163090128756
CAPPS; Lois, CA, 22, 0.9497307001795332, 0.9202334630350194, 0.9377289377289377, 0.9481361426256077, 0.96875
BONO; Mary, CA, 44, 0.9608378870673953, 0.950207468879668, 0.9822064056939501, 0.9367521367521368, 0.9956896551724138
LEE; Barbara, CA, 9, 0.9665738161559888, 0.9830508474576272, 0.9848484848484849, 0.9512605042016806, 0.9862385321100917
THOMPSON; Michael, CA, 1, 0.9555757026291931, 0.9280155642023347, 0.9522184300341296, 0.945518453427065, 0.983402489626556
OSE; Doug, CA, 3, 0.9617097061442564, 0.9320987654320988, 0.9965277777777778, 0.9331103678929766, 0.9915611814345991
NAPOLITANO; Grace Flores, CA, 34, 0.9746059544658494, 0.9597701149425287, 0.96875, 0.9792, 0.9694323144104804
KUYKENDALL; Steven T., CA, 36, 0.9550045913682277, 0.9057017543859649, 0.9929078014184397, 0.9175438596491228, 1.0
MILLER; Gary G., CA, 41, 0.9699381078691424, 0.9961612284069098, 0.9925925925925926, 0.9502407704654896, 0.9957983193277311
BACA; Joe, CA, 42, 0.9526411657559198, 0.8973214285714286, 0.9523809523809523, 0.9501915708812261, 0.9583333333333334
MART�NEZ; Matthew G., CA, 31, 0.9918032786885246, 1.0, 1.0, 0.9767441860465116, 1.0
HEFLEY; Joel M., CO, 5, 0.9353281853281853, 0.9643564356435643, 0.9766536964980544, 0.891500904159132, 0.995575221238938
McINNIS; Scott, CO, 3, 0.955736224028907, 0.968503937007874, 0.9962546816479401, 0.9220563847429519, 0.9957805907172996
DeGETTE; Diana, CO, 1, 0.973803071364047, 0.9673076923076923, 0.9779411764705882, 0.9689034369885434, 0.9821428571428571
SCHAFFER; Robert W., CO, 4, 0.9442231075697212, 0.9778672032193159, 0.9796747967479674, 0.9063670411985019, 0.9955357142857143
UDALL; Mark, CO, 2, 0.9585537918871252, 0.9438202247191011, 0.9616724738675958, 0.9477124183006536, 0.9829787234042553
TANCREDO; Thomas G., CO, 6, 0.9351005484460695, 0.973384030418251, 0.9891696750902527, 0.884083044982699, 0.99581589958159
GEJDENSON; Samuel, CT, 2, 0.9778368794326241, 0.9810246679316889, 0.9714285714285714, 0.9738988580750407, 0.9957446808510638
JOHNSON; Nancy Lee, CT, 6, 0.9093484419263456, 0.8270509977827051, 0.988929889298893, 0.8371681415929203, 0.9955156950672646
SHAYS; Christopher H., CT, 4, 0.8787584869059166, 0.8153153153153153, 0.9921568627450981, 0.7738970588235294, 1.0
DeLAURO; Rosa L., CT, 3, 0.9804421768707483, 0.9833024118738405, 0.979381443298969, 0.9782608695652174, 0.9875518672199171
MALONEY; James H., CT, 5, 0.9137010676156584, 0.8414872798434442, 0.8869257950530035, 0.9194078947368421, 0.9313304721030042
LARSON; John B., CT, 1, 0.9692982456140351, 0.9580952380952381, 0.9651567944250871, 0.9710610932475884, 0.9696969696969697
CASTLE; Michael Newbold, DE, 1, 0.9170464904284412, 0.8481561822125814, 0.9893617021276596, 0.8541666666666666, 0.9832635983263598
YOUNG; Charles William (Bill), FL, 10, 0.9776119402985075, 0.959915611814346, 0.9848484848484849, 0.9671848013816926, 0.9956331877729258
McCOLLUM; Ira William; Jr. (Bill), FL, 8, 0.9711884753901561, 0.9642857142857143, 0.9836956521739131, 0.95625, 1.0
SHAW; Eugene Clay; Jr., FL, 22, 0.9655485040797824, 0.9476987447698745, 0.9929328621908127, 0.9401709401709402, 0.9957446808510638
BILIRAKIS; Michael, FL, 9, 0.9729965156794426, 0.9664031620553359, 0.9827586206896551, 0.959349593495935, 0.9958847736625515
GOSS; Porter J., FL, 14, 0.9662337662337662, 0.9786407766990292, 0.9931740614334471, 0.9434571890145396, 0.9917695473251029
STEARNS; Clifford Bundy, FL, 6, 0.9592198581560284, 0.9809160305343512, 0.9854545454545455, 0.9338709677419355, 0.9957081545064378
ROS-LEHTINEN; Ileana, FL, 18, 0.9531835205992509, 0.9341825902335457, 0.9738805970149254, 0.9238938053097345, 1.0
