CongressNum, Name, Party, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
106, TAUZIN; Wilbert Joseph (Billy),200, LA,3,0.986607143,0.99,1,0.976821192,0.995726496
106, BALDACCI; John Elias,100, ME,2,0.964471404,0.936538462,0.955479452,0.967793881,0.966804979
106, ALLEN; Thomas H.,100, ME,1,0.97660312,0.975471698,0.968641115,0.976265823,0.987234043
106, HOYER; Steny Hamilton,100, MD,5,0.971806167,0.958984375,0.972125436,0.970779221,0.974137931
106, CARDIN; Benjamin Louis,100, MD,3,0.973344798,0.954198473,0.979661017,0.976340694,0.957264957
106, MORELLA; Constance A.,200, MD,8,0.868656716,0.690104167,0.988326848,0.760154739,0.978354978
106, GILCHREST; Wayne Thomas,200, MD,1,0.941286114,0.887168142,0.985507246,0.8980322,0.991596639
106, WYNN; Albert Russell,100, MD,4,0.969585253,0.950819672,0.963768116,0.970890411,0.973333333
106, BARTLETT; Roscoe Gardner,200, MD,6,0.951807229,0.979362101,0.975265018,0.925117005,0.995798319
106, EHRLICH; Robert L.; Jr.,200, MD,2,0.948694869,0.941767068,0.982078853,0.915841584,0.995575221
106, CUMMINGS; Elijah Eugene,100, MD,7,0.985152838,0.990530303,0.98951049,0.98392283,0.983122363
106, MOAKLEY; John Joseph,100, MA,9,0.962522852,0.947775629,0.969111969,0.955665025,0.973451327
106, MARKEY; Edward John,100, MA,7,0.965150048,0.975903614,0.980842912,0.951526032,0.981395349
106, FRANK; Barney,100, MA,4,0.949390815,0.963106796,0.97265625,0.931740614,0.968888889
106, NEAL; Richard Edmund,100, MA,2,0.963912631,0.948103792,0.95703125,0.962457338,0.976303318
106, OLVER; John Walter,100, MA,1,0.97214735,0.981343284,0.977941176,0.967105263,0.978540773
106, MEEHAN; Martin Thomas,100, MA,5,0.943789665,0.954022989,0.985130112,0.912972085,0.977777778
106, McGOVERN; James P.,100, MA,3,0.974267968,0.986940299,0.985454545,0.962722853,0.991489362
106, TIERNEY; John F.,100, MA,6,0.955575703,0.975836431,0.984732824,0.927652733,1
106, DELAHUNT; Bill,100, MA,10,0.951035782,0.966666667,0.968,0.928093645,0.995327103
106, CAPUANO; Michael Everett,100, MA,8,0.970425139,0.985018727,0.984063745,0.960066556,0.982608696
106, DINGELL; John David; Jr.,100, MI,16,0.958724203,0.939516129,0.973977695,0.950963222,0.960176991
106, CONYERS; John; Jr.,100, MI,14,0.962413452,0.984220907,0.995833333,0.939929329,0.985365854
106, BONIOR; David Edward,100, MI,10,0.966993756,0.970037453,0.960714286,0.965742251,0.978070175
106, KILDEE; Dale Edward,100, MI,9,0.950171821,0.915708812,0.956081081,0.943037975,0.961864407
106, LEVIN; Sander Martin,100, MI,12,0.972789116,0.960377358,0.993197279,0.9625,0.975206612
106, UPTON; Frederick Stephen,200, MI,6,0.926251097,0.887755102,0.996610169,0.864321608,0.991902834
106, CAMP; David Lee,200, MI,4,0.96572935,0.954274354,0.996539792,0.937704918,1
106, STUPAK; Bart T.,100, MI,1,0.919959473,0.881104034,0.928,0.905027933,0.95
106, HOEKSTRA; Peter,200, MI,2,0.940760389,0.98065764,0.98943662,0.896272285,1
106, EHLERS; Vernon James,200, MI,3,0.940271493,0.917012448,0.996466431,0.887931034,1
106, BARCIA; James A.,100, MI,5,0.869047619,0.725701944,0.856164384,0.85361552,0.922746781
106, SMITH; Nick H.,200, MI,7,0.952337305,0.966135458,0.996212121,0.916805324,0.995575221
106, KNOLLENBERG; Joseph,200, MI,11,0.986830553,0.991967871,0.996551724,0.98019802,0.991769547
106, RIVERS; Lynn Nancy,100, MI,13,0.939802336,0.930966469,0.949820789,0.92039801,0.978354978
106, STABENOW; Deborah Ann,100, MI,8,0.934199134,0.885277247,0.942176871,0.917197452,0.969957082
106, KILPATRICK; Carolyn Cheeks,100, MI,15,0.979648474,0.984644914,0.988679245,0.978187919,0.972727273
106, OBERSTAR; James Louis,100, MN,8,0.950772201,0.954274354,0.962546816,0.931734317,0.982378855
106, VENTO; Bruce Frank,100, MN,4,0.959243086,0.982089552,0.972222222,0.938303342,1
106, SABO; Martin Olav,100, MN,5,0.966228893,0.971319312,0.980988593,0.955908289,0.974576271
106, RAMSTAD; James (Jim),200, MN,3,0.894538606,0.87063655,0.996453901,0.795955882,1
106, PETERSON; Collin Clark,100, MN,7,0.827411168,0.693548387,0.884892086,0.768907563,0.878787879
106, MINGE; David R.,100, MN,2,0.922797457,0.892430279,0.934545455,0.904201681,0.956709957
106, GUTKNECHT; Gilbert W.,200, MN,1,0.947272727,0.971153846,0.985663082,0.908319185,1
106, LUTHER; William Paul,100, MN,6,0.912966252,0.891682785,0.956989247,0.864379085,0.987234043
106, TAYLOR; Gary Eugene (Gene),100, MS,5,0.801229508,0.631944444,0.853046595,0.737739872,0.868421053
106, THOMPSON; Bennie,100, MS,2,0.974358974,0.96812749,0.970695971,0.978571429,0.968181818
106, WICKER; Roger F.,200, MS,1,0.985752449,0.988461538,0.992907801,0.976782753,1
106, PICKERING; Charles W. (Chip); Jr.,200, MS,3,0.979148566,0.986767486,0.993031359,0.969648562,0.987394958
106, SHOWS; Clifford Ronald,100, MS,4,0.843897824,0.651480638,0.868327402,0.819188192,0.871794872
106, CLAY; William Lacy; Sr.,100, MO,1,0.975744212,0.986784141,0.986666667,0.965163934,0.989690722
106, GEPHARDT; Richard Andrew,100, MO,3,0.973484848,0.964285714,0.96875,0.970740103,0.98630137
106, SKELTON; Isaac Newton; IV (Ike),100, MO,4,0.895604396,0.767857143,0.904761905,0.880866426,0.918032787
106, TALENT; James Matthes,200, MO,2,0.978363123,0.96969697,0.996138996,0.963979417,0.995475113
106, DANNER; Patsy Ann (Pat),100, MO,6,0.852846402,0.725925926,0.858299595,0.823408624,0.918781726
106, McCARTHY; Karen,100, MO,5,0.969991174,0.955426357,0.982269504,0.959150327,0.983263598
106, BLUNT; Roy,200, MO,7,0.979877515,0.994285714,1,0.963081862,1
106, EMERSON; Jo Ann,200, MO,8,0.972197309,0.963709677,0.992882562,0.954924875,0.991489362
106, HULSHOF; Kenny,200, MO,9,0.956400742,0.951267057,0.996376812,0.919860627,1
106, HILL; Rick,200, MT,1,0.970027248,0.980879541,0.989323843,0.948979592,1
106, BEREUTER; Douglas Kent,200, NE,1,0.942133816,0.919148936,0.992957746,0.897084048,0.991631799
106, BARRETT; William E.,200, NE,3,0.972711268,0.98,0.993031359,0.957166392,0.987603306
106, TERRY; Lee Raymond,200, NE,2,0.9604811,0.98467433,0.996551724,0.930379747,0.995867769
106, GIBBONS; James A.,200, NV,2,0.956327986,0.959692898,0.978947368,0.929648241,0.995833333
106, BERKLEY; Shelley,100, NV,1,0.937716263,0.889101338,0.924657534,0.940894569,0.945378151
106, BASS; Charles Foster,200, NH,2,0.941747573,0.925101215,0.993006993,0.894389439,1
106, SUNUNU; John E.,200, NH,1,0.945132743,0.980620155,1,0.900651466,0.995780591
106, ROUKEMA; Margaret Scafati,200, NJ,5,0.933579336,0.893162393,0.989051095,0.88173913,0.995744681
106, SMITH; Christopher Henry,200, NJ,4,0.925858951,0.860813704,0.975352113,0.873720137,0.995762712
106, SAXTON; Hugh James,200, NJ,3,0.956482321,0.916129032,0.982206406,0.926994907,1
