congress,year,name,party,state,district,margin,allAverage,partisanAverage,billAverage,procedureAverage,resolutionAverage
2016,114, COOPER; James Hayes Shofner,100,TN,5,25.10674699,0.747685185,0.626068376,0.825892857,0.777188329,0.63878327
2018,115, COOPER; James Hayes Shofner,100,TN,5,35.69369452,0.755176614,0.647191011,0.831730769,0.780160858,0.65
2008,110, COSTA; Jim,100,CA,20,48.66910125,0.735640138,0.6,0.82712766,0.76552795,0.609411765
2010,111, COSTA; Jim,100,CA,20,3.409954832,0.706806283,0.566115702,0.791277259,0.713087248,0.633333333
2012,112, COSTA; Jim,100,CA,16,14.81722618,0.773249739,0.66802444,0.867256637,0.765402844,0.715210356
2014,113, COSTA; Jim,100,CA,16,1.462398597,0.780839895,0.660933661,0.805405405,0.794285714,0.740088106
2016,114, COSTA; Jim,100,CA,16,16.06968492,0.739445115,0.61589404,0.807692308,0.752066116,0.666666667
2018,115, COSTA; Jim,100,CA,16,15.09034059,0.745689655,0.641558442,0.847826087,0.750788644,0.641025641
2002,107, COSTELLO; Jerry Francis,100,IL,12,38.49068519,0.805929919,0.719072165,0.854368932,0.808641975,0.754716981
2004,108, COSTELLO; Jerry Francis,100,IL,12,40.5973432,0.739955357,0.60041841,0.80859375,0.762376238,0.627118644
2008,110, COSTELLO; Jerry Francis,100,IL,12,46.45131648,0.73986014,0.599451303,0.827027027,0.766666667,0.625581395
2010,111, COSTELLO; Jerry Francis,100,IL,12,23.29789596,0.703703704,0.558238636,0.794303797,0.714046823,0.618581907
2016,114, COSTELLO; Ryan,200,PA,6,14.4754448,0.78639745,0.757731959,0.982832618,0.597430407,0.962655602
2008,110, COURTNEY; Joe,100,CT,2,29.22539244,0.731821214,0.592405063,0.826873385,0.756429652,0.614190687
2012,112, COURTNEY; Joe,100,CT,2,33.89784587,0.737845567,0.628272251,0.829959514,0.746236559,0.658753709
2014,113, COURTNEY; Joe,100,CT,2,22.13647691,0.773677737,0.658536585,0.838383838,0.776859504,0.718253968
2016,114, COURTNEY; Joe,100,CT,2,22.72805724,0.752325581,0.625,0.814977974,0.775675676,0.66539924
2018,115, COURTNEY; Joe,100,CT,2,22.5433566,0.766917293,0.664367816,0.848039216,0.800554017,0.643776824
2000,106, COX; Charles Christopher,200,CA,47,35.52049378,0.953244275,0.979550102,0.983333333,0.917466411,0.995594714
2002,107, COX; Charles Christopher,200,CA,48,40.00356449,0.848214286,0.798634812,0.985507246,0.719387755,0.967567568
2004,108, COX; Charles Christopher,200,CA,48,32.82509145,0.788571429,0.771084337,0.983122363,0.611235955,0.958549223
2014,113, CRAMER; Kevin,200,ND,0,17.05955684,0.777142857,0.806010929,0.990049751,0.600422833,0.980099502
2016,114, CRAMER; Kevin,200,ND,0,45.38304492,0.775079197,0.733333333,0.983193277,0.579281184,0.957627119
2002,107, CRAMER; Robert E. (Bud); Jr.,100,AL,5,48.57432713,0.804265997,0.701388889,0.846808511,0.82111437,0.733031674
2004,108, CRAMER; Robert E. (Bud); Jr.,100,AL,5,46.05186253,0.735491071,0.603305785,0.819923372,0.76,0.6
2000,106, CRANE; Philip Miller,200,IL,8,21.97769613,0.950884086,0.987679671,0.996732026,0.901209677,1
2002,107, CRANE; Philip Miller,200,IL,8,14.85541748,0.840163934,0.786476868,0.99009901,0.694444444,0.970588235
2004,108, CRANE; Philip Miller,200,IL,8,-3.399126457,0.796703297,0.779369628,0.979757085,0.625,0.969849246
2012,112, CRAVAACK; Chip,200,MN,8,-8.89434292,0.766319773,0.767590618,0.990909091,0.6,0.956349206
2018,115, CRAWFORD; Rick,200,AR,1,40.17491118,0.765575502,0.737400531,0.987288136,0.526315789,0.988235294
2006,109, CRENSHAW; Ander,200,FL,4,39.34312632,0.796460177,0.762430939,0.991266376,0.608597285,0.961373391
2008,110, CRENSHAW; Ander,200,FL,4,30.50937276,0.77140411,0.764356436,0.988636364,0.584814216,0.975438596
2018,115, CRIST; Charlie Joseph Jr.,100,FL,13,15.28941133,0.762273902,0.648325359,0.840206186,0.798319328,0.6367713
2010,111, CRITZ; Mark S.,100,PA,12,1.558096596,0.712209302,0.585635359,0.794117647,0.699421965,0.67961165
