State,District,Party,Margin,Lean,Avg_Def,Minority,Nat_Margin,Year,Fresh,Calculated_C6
FL,1,0,34.11727484,41.79,12.6527051,0,-8.6,2018,1,0.337963922
FL,2,0,34.88266659,36.28,3.8038884,0,-8.6,2018,1,2.357146596
FL,3,0,15.24848611,18.15,7.6526225,0,-8.6,2018,0,-0.367933854
FL,4,0,32.80506965,33.53,4.6491228,0,-8.6,2018,1,1.903058068
FL,8,0,20.99620833,20.58,6.3520871,0,-8.6,2018,0,0.189099159
FL,11,0,30.29664822,28.33,4.4117647,0,-8.6,2018,0,1.129092224
FL,12,0,18.42839143,15.97,3.9861352,0,-8.6,2018,0,0.480932114
FL,15,0,6.040653937,11.42,3.1945789,0,-8.6,2018,0,-2.263118955
FL,16,0,9.122907837,12.29,5.1924799,0,-8.6,2018,0,-0.918089093
FL,18,0,8.602373532,8.71,10.6187291,0,-8.6,2018,1,0.218871817
FL,19,0,24.54572491,24.15,5.1517939,0,-8.6,2018,1,1.411077394
FL,25,0,20.90676314,11.08,7.2580645,0,-8.6,2018,0,1.085493128
FL,26,0,-1.749230279,-8.66,13.6851521,0,-8.6,2018,0,-0.052364217
GA,1,0,15.47731597,17.4,6.7681895,0,-8.6,2018,0,-0.303272245
GA,3,0,31.05260643,35.54,4.1631973,0,-8.6,2018,1,1.360340148
GA,6,0,-1.029607525,15.18,3.7372593,0,-8.6,2018,1,-3.188545554
GA,7,0,0.14940754,17.58,7.6470588,0,-8.6,2018,0,-2.289602698
GA,9,0,59.01094584,60.27,5.2991453,0,-8.6,2018,0,2.065375494
GA,10,0,25.78393645,28.59,9.2359362,0,-8.6,2018,0,0.030682265
GA,11,0,23.58279127,32.7,4.9689441,0,-8.6,2018,0,-0.975120395
GA,12,0,18.95612183,17.64,3.9462636,0,-8.6,2018,0,0.318085651
GA,14,0,53.00360433,53.12,7.9564489,0,-8.6,2018,0,1.260653899
IA,1,0,-5.056201626,-2.32,11.2467306,0,-8.6,2018,0,-0.759293161
IA,3,0,-2.163984494,2.93,4.4739022,0,-8.6,2018,0,-2.09815125
