State,District,Party,Average,Margin,,,
SC,4,-1,0.866891323,32.26959223,,PA,16
TN,2,-1,0.823579304,55.44725905,,PA,18
TN,3,-1,0.89535865,31.37232253,,PA,19
TN,7,-1,0.887406172,34.22600203,,SC,1
TX,1,-1,0.872566372,37.75788855,,SC,2
TX,3,-1,0.8944495,27.60129968,,SC,3
TX,4,-1,0.910548523,30.99008283,,SC,4
TX,5,-1,0.871369295,26.17415464,,TN,2
TX,6,-1,0.904845815,23.38788182,,TN,3
TX,7,-1,0.919130435,20.74321304,,TN,7
TX,8,-1,0.918205805,34.55538718,,TX,3
TX,10,-1,0.918350168,14.88557608,,TX,4
TX,12,-1,0.92991453,35.86279647,,TX,6
TX,13,-1,0.914023372,51.34047704,,TX,8
TX,14,-1,0.59540636,20.37574374,,TX,10
TX,19,-1,0.899665552,37.93310334,,TX,12
TX,21,-1,0.939471441,35.59146539,,TX,13
TX,21,-1,0.939471441,51.09921387,,TX,19
TX,22,-1,0.923076923,0.120236923,,TX,24
TX,23,-1,0.928213689,36.85247861,,TX,26
TX,23,-1,0.928213689,37.51807365,,TX,31
TX,23,-1,0.928213689,17.70531264,,TX,32
TX,23,-1,0.928213689,28.74094298,,UT,1
TX,23,-1,0.928213689,25.06633746,,VA,1
TX,23,-1,0.928213689,26.23557958,,VA,2
TX,23,-1,0.928213689,-8.569239283,,VA,4
TX,23,-1,0.928213689,10.8169086,,VA,5
TX,24,-1,0.91894198,22.66337467,,VA,6
TX,26,-1,0.904920767,22.97246346,,VA,7
TX,31,-1,0.932593857,19.67782833,,VA,10
TX,32,-1,0.912764004,15.15333354,,WA,4
UT,1,-1,0.903141361,30.60613871,,WA,5
UT,3,-1,0.912058024,25.46886903,,WA,8
VA,1,-1,0.857142857,27.4821252,,WV,2
VA,2,-1,0.925062448,2.815909078,,WI,1
VA,5,-1,0.877326565,19.18530359,,WI,6
VA,7,-1,0.925084175,29.44652239,,,
VA,10,-1,0.885259631,16.35770982,,,
VA,11,-1,0.888888889,11.88243795,,,
WA,4,-1,0.931778929,19.86063443,,,
WA,5,-1,0.918575064,12.79019238,,,
WA,8,-1,0.878172589,2.920245204,,,
WV,2,-1,0.893670886,14.36383522,,,
WI,1,-1,0.878964942,25.45031755,,,
WI,5,-1,0.842459983,26.08604607,,,
WY,0,-1,0.886342805,0.515760773,,,
