State,District,Party,Average,Margin
VA,7,-1,0.902821317,15.26994986
VA,8,1,0.877535101,41.10780867
VA,9,-1,0.884644767,40.26921119
VA,10,-1,0.931643625,5.768553025
WA,1,1,0,10.83005627
WA,2,1,0.865853659,28.03250074
WA,3,-1,0.895145631,23.50539618
WA,5,-1,0.95281583,19.28205382
WA,6,1,0.854435178,23.06106139
WA,8,-1,0.864673485,20.39019525
WA,9,1,0.875232775,45.77486305
WA,10,1,0.868441065,17.33043323
WI,1,1,0.972270364,-34.74121018
WI,1,-1,0.972270364,34.74121018
WI,2,1,0.88003096,37.55539366
WI,5,-1,0.894856278,37.41364841
WI,6,-1,0.910755149,19.89876338
WI,7,-1,0.931691819,23.40098987
WV,1,-1,0.910823171,37.94677705
WV,2,-1,0.912307692,16.36268976
WV,3,-1,0.910276074,43.906874
