congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,Average,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
113,House,21112,62,4,CO,200,0.915959253,1,"GARDNER, Cory",G000562,1974,,0.444,-0.024,-164.16927,0.84846,999,82,,0.426,0.094
113,House,29710,62,1,CO,100,0.866375546,1,"DeGETTE, Diana",D000197,1957,,-0.432,-0.315,-85.80585,0.91467,962,29,,-0.4,-0.36
113,House,20706,1,2,CT,100,0.823979592,1,"COURTNEY, Joe",C001069,1953,,-0.344,0.016,-154.85044,0.85654,1000,74,,-0.342,-0.043
113,House,20907,1,4,CT,100,0.827004219,1,"HIMES, James A.",H001047,1966,,-0.242,-0.24,-185.45478,0.83119,1003,78,,-0.275,-0.239
113,House,21316,1,5,CT,100,0.837563452,1,"ESTY, Elizabeth",E000293,1959,,-0.315,-0.078,-142.99901,0.86762,1007,69,,-0.303,-0.146
113,House,29109,1,3,CT,100,0.869787234,1,"DeLAURO, Rosa L.",D000216,1943,,-0.416,-0.12,-101.22604,0.90243,986,40,,-0.421,-0.191
113,House,29908,1,1,CT,100,0.841836735,1,"LARSON, John B.",L000557,1948,,-0.398,-0.053,-131.72811,0.87692,1003,46,,-0.388,-0.057
113,House,21113,11,1,DE,100,0.845414847,1,"CARNEY, John C., Jr.",C001083,1956,,-0.256,-0.142,-158.61333,0.848,962,56,,-0.292,-0.135
113,House,13047,43,13,FL,200,0.924731183,1,"YOUNG, Charles William (Bill)",Y000031,1930,2013,0.325,-0.112,-63.00568,0.818,313,31,,0.351,0.114
113,House,15634,43,27,FL,200,0.918584071,1,"ROS-LEHTINEN, Ileana",R000435,1952,,0.244,-0.225,-178.02085,0.82993,955,73,,0.245,0.132
113,House,20110,43,1,FL,200,0.921052632,1,"MILLER, Jefferson B. (Jeff)",M001144,1959,,0.633,0.155,-130.6889,0.874,971,64,,0.574,0.166
113,House,20111,43,4,FL,200,0.947907771,1,"CRENSHAW, Ander",C001045,1944,,0.333,0.337,-105.48282,0.9,999,45,,0.282,0.418
113,House,20316,43,25,FL,200,0.932098765,1,"DIAZ-BALART, Mario",D000600,1961,,0.279,0.119,-130.03813,0.87356,962,47,,0.231,0.26
113,House,20504,43,23,FL,100,0.858657244,1,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.421,0.067,-155.33305,0.85003,956,64,,-0.438,0.225
113,House,20708,43,14,FL,100,0.849089332,1,"CASTOR, Kathy",C001066,1966,,-0.438,0.046,-116.30615,0.88701,970,58,,-0.486,0.063
113,House,20709,43,16,FL,200,0.945169713,1,"BUCHANAN, Vernon G.",B001260,1951,,0.359,-0.136,-141.3717,0.8668,989,55,,0.423,-0.174
113,House,20758,43,12,FL,200,0.947457627,1,"BILIRAKIS, Gus",B001257,1963,,0.405,0.016,-130.58122,0.87804,1004,54,,0.471,-0.003
113,House,20908,43,9,FL,100,0.84241908,1,"GRAYSON, Alan",G000556,1958,,-0.363,-0.457,-182.32256,0.832,994,62,,-0.394,-0.358
113,House,20909,43,8,FL,200,0.89390142,1,"POSEY, Bill",P000599,1947,,0.517,-0.32,-241.88756,0.78814,1016,102,,0.549,-0.569
113,House,20910,43,17,FL,200,0.912785775,1,"ROONEY, Thomas J.",R000583,1970,,0.458,0.013,-210.44561,0.81175,1009,90,,0.44,-0.042
113,House,20959,43,21,FL,100,0.861683849,1,"DEUTCH, Theodore E. (Ted)",D000610,1966,,-0.4,-0.096,-113.87327,0.89207,997,44,,-0.415,-0.091
113,House,21114,43,2,FL,200,0.942712721,1,"SOUTHERLAND, Steve",S001186,1965,,0.56,0.063,-117.2386,0.89,1009,53,,0.493,0.168
113,House,21115,43,11,FL,200,0.924657534,1,"NUGENT, Richard",N000185,1951,,0.483,0.077,-151.64545,0.86,1002,76,,0.467,0.081
113,House,21116,43,10,FL,200,0.937231298,1,"WEBSTER, Daniel A.",W000806,1949,,0.508,-0.049,-139.59402,0.86786,985,55,,0.419,-0.008
113,House,21117,43,15,FL,200,0.944630872,1,"ROSS, Dennis",R000593,1959,,0.531,0.099,-122.20626,0.88625,1012,43,,0.493,0.068
113,House,21118,43,24,FL,100,0.868824532,1,"WILSON, Frederica",W000808,1942,,-0.476,-0.015,-98.83141,0.9059,1000,31,,-0.454,-0.081
113,House,21317,43,3,FL,200,0.895222129,1,"YOHO, Ted",Y000065,1955,,0.704,-0.36,-184.54281,0.83346,1013,89,,0.73,-0.308
